module_id,code,name,filtered_data
3565,EDS-164R,Early Childhood Policy,EDS164R
3570,POLI-142L,Insurgency and Terrorism,POLI142L
3579,MATH-181B,Intro/Math Statistics II,MATH181B
3607,POLI-144,International Political Econmy,POLI144
3611,CLRE-254,Biostatistics II,CLRE254
3621,MATH-183,Statistical Methods,MATH183
3629,CLRE-255,Data Management & Informatics,CLRE255
3632,MATH-184,Enumerative Combinatorics,MATH184
3648,CLRE-256,Patient-Oriented Research II,CLRE256
3660,EDS-253,Transform Edu Sys and Policy,EDS253
3663,POLI-145C,Interntnl Reltn After Cold War,POLI145C
3669,CLRE-257,Epidemiology II,CLRE257
3670,EDS-256,Mixed Methd/Res Desgn/Analysis,EDS256
3677,CLRE-258,Prof Develpmnt/Clinical Resrch,CLRE258
3682,MATH-187A,Introduction to Cryptography,MATH187A
3691,MATH-187B,Math of Modern Cryptography,MATH187B
3702,CLRE-260,Directed Studies in Clin Rsrch,CLRE260
3706,MATH-188,Algebraic Combinatorics,MATH188
3710,MATH-189,Data Analysis and Inference,MATH189
3735,GPPS-400,Intl Relations of Asia-Pacific,GPPS400
3737,MATH-190A,Foundations of Topology I,MATH190A
3739,EDS-292,Qualifying Paper Preparation,EDS292
3742,EDS-296,Research Advisory Course,EDS296
3744,POLI-151,International Organizations,POLI151
3747,EDS-195,Apprentice Teaching,EDS195
3762,CLRE-295A,ISP Seminar Series A,CLRE295A
3772,POLI-154,Spec Topic/Internatnl Relation,POLI154
3780,CLRE-297,Independent Study Proj-2 units,CLRE297
3788,EDS-201,Intro/Resources/Tching&Lrning,EDS201
3790,EDS-203,"Technology,Teaching & Learning",EDS203
3800,MATH-196,Student Colloquium,MATH196
3805,EDS-205A,Reflective Teaching Practice,EDS205A
3807,EDS-351,Teaching/English Lang Learner,EDS351
3810,EDS-352A,Bilingual Instr Practices I,EDS352A
3814,MATH-197,Industry Practicum,MATH197
3827,SOCI-188D,Latin Amer: Society & Politics,SOCI188D
3835,MATH-200A,Algebra I,MATH200A
3851,EDS-361A,Innovative Instruct Pract I,EDS361A
3872,EDS-368,InstrPlanning&Assessmnt(Elem),EDS368
3873,EDS-369A,Mlt Sub(Elem)Stdnt Tch Prc I,EDS369A
3882,MATH-202A,Applied Algebra I,MATH202A
3891,EDS-370A,MS Student Teaching SeminarI,EDS370A
3901,MATH-203A,Algebraic Geometry I,MATH203A
3926,MATH-204A,Number Theory I,MATH204A
3929,EDS-378,InstrPlanning&Assessmnt(Secnd),EDS378
3930,EDS-379A,SinglSubj(Secnd)Intrn Prac I,EDS379A
3934,EDS-250,Equitable Educ/Res & Practice,EDS250
3946,POLI-172,Advanced Social Data Analytics,POLI172
3947,EDS-380A,SS Internship Seminar I,EDS380A
3962,POLI-174D,Data Politics,POLI174D
4001,MATH-208,Seminar in Algebraic Geometry,MATH208
4009,MATH-209,Seminar in Number Theory,MATH209
4013,MATH-210A,Math Meth/Physics&Engineering,MATH210A
4015,POLI-191A,Senr Hon Sem:Frontier/POLI I,POLI191A
4029,MATH-211A,Seminar in Algebra,MATH211A
4030,COMM-127,The Problem of Voice,COMM127
4031,POLI-194,Research Seminar/Washington DC,POLI194
4040,POLI-195,Apprentice Teaching,POLI195
4041,MATH-211B,Seminar in Group Actions,MATH211B
4058,EDS-283,Leadership for Organiztn Chang,EDS283
4070,EDS-285,Leadership for the Future,EDS285
4074,EDS-286,Advanced Topics in Leadership,EDS286
